id,state,adm1_code,forest_land,timber_land,live_trees,dead_trees,carbon_live
1,Arizona,USA-3520,136,26,348.77,227.3,117.1
2,California,USA-3521,93,101,658.67,320.2,630.9
3,Colorado,USA-3522,119,100,1096.26,845.3,286.2
4,Connecticut,USA-3537,6,317,1410.09,371.7,1222.2
5,Louisiana,USA-3535,6,281,1799.59,145.1,619.5
6,Maine,USA-3561,23,474,6761.49,1066.8,1008.7
7,Minnesota,USA-3514,20,184,1725.75,395.3,293.2
8,Missouri,USA-3531,8,212,1150.69,277.7,472
9,Ohio,USA-3550,8,171,877.62,264.6,539.3
10,Tennessee,USA-3551,14,316,198.03,377.1,960.1
11,Texas,USA-3536,181,51,713.51,139.4,156.8
12,Utah,USA-3526,169,43,827.47,518.9,171.7
13,Vermont,USA-3540,24,443,3507.11,1013.1,1491.1
14,Washington,USA-3519,61,250,1315.49,847,1255.1
15,Wisconsin,USA-3553,8,260,1756.44,391.6,507.5
